a[abc]*def,xxxeeeeffffdefaaabbaabcdef,TRUE
[abc]+def,aaaaabbbbbbccccccadef,TRUE
[abc]+def,abcdeffffaaacceeff,TRUE
[abc]+def,abcdeddddeffffeeee,FALSE
[abc]+def,abcdeabcdeabcdef,TRUE
[ab]?[cd].e.f+g$,bbbbaaaadxeyffg,TRUE
\.[01234]+\.,123.123.123.123,TRUE
\.[01234]+\.,abc.123.123,TRUE
[abc],b,TRUE
[abc]*def,abcdeabcdeabcdef,TRUE
a[abc]*def,abcddef,FALSE
[abc]+def,def,FALSE
[abc]+def,adef,TRUE
[abc]+def,abcdef,TRUE
[abc]+def,aadef,TRUE
[abc]+def,abcde,FALSE
[abc]+def,aaaadef,TRUE
[abc]+def,abcdeabcdeabcdef,TRUE
[abc]+def,adef,TRUE
[abc]+def,adefddd,TRUE
[abc]+def,defdddd,FALSE
a[abc]+def,adef,FALSE
a[abc]+def,aabdef,TRUE
a[abc]+def,abcdef,TRUE
a[abc]+def,aaacdef,TRUE
a[abc]+def,aabcdef,TRUE
^a,abc,TRUE
^a,bac,FALSE
a$,cba,TRUE
a$,abc,FALSE
^$,,TRUE
^$,a,FALSE
^[^abc]?def,def,TRUE
^[^abc]+def,xxdef,TRUE
a[bcd]+ef.[^gh]?ijk$,abcdefgijk,TRUE
